"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4498720663192","14.5379361657975","14.5325083979379","14.3826753879149","14.144324465055","14.074791184627","14.0942998888379","14.1468300586734","14.2660637853057","14.2693229859472","14.2469666162403","14.2593050678475","14.2881895677162","14.0559893943877","13.8638972342377","13.7425432395704","13.6375290213972","13.5723727539564","13.7769974230706","15.084734306321","14.4943504540755","14.1765535012183","13.8263386883905","13.5664978655576","13.2454276607733","13.2677511792358","13.1453928022289","12.9017486220243","13.1409623521246","13.785127325799","13.7238890618148","12.8655248836405","13.0041198385082",
"Afghanistan","AFG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.205","10.197","10.215","10.234","10.227","10.209","10.195","10.217","10.23","10.233","10.232","10.211","10.189","10.175","10.167","10.172","10.159","10.16","10.142","10.128","10.114","10.096","10.098","10.092","12.518","14.92","17.313","16.626","15.921","16.051","16.385","17.748","18.076",
"Africa Western and Central","AFW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.20504046522302","8.34008015299684","8.5214439559108","8.55460348522189","8.57017139539058","8.48980878482894","8.45951719519338","8.48584703102126","8.80586987020765","8.8793817337608","8.79286244353206","8.51131525976396","8.37735535505769","8.25409342739793","8.31009727632747","8.13344192475265","8.11204737830264","8.1566000891828","8.22389535027345","8.23281221600038","8.17334683872828","8.26732066200029","7.91196559028367","8.28966842161575","8.80626760746693","8.73491916256808","8.90797500455348","8.9614547233975","8.9929283691188","9.41734699243144","8.05414083113142","6.44628456419529","5.99280126460923",
"Angola","AGO","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.253","38.595","39.555","39.628","38.806","37.27","37.029","37.44","37.914","38.115","38.108","37.642","37.67","37.445","37.449","37.106","37.013","37.222","37.735","38.242","38.553","37.333","36.419","35.478","34.865","34.229","33.481","32.627","31.632","32.455","29.997","28.416","28.235",
"Albania","ALB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.127","47.049","39.759","32.977","23.242","22.209","26.901","32.04","33.38","30.56","29.894","28.808","27.528","26.601","26.224","25.849","26.61","26.555","27.324","30.869","22.735","28.984","31.313","39.759","39.883","36.159","31.397","28.32","27.142","30.63","29.43","28.1","28.246",
"Andorra","AND","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8831615628049","25.158524249361","26.9368446400588","27.1436691748298","27.7787641355488","25.6463627544208","24.677614242479","24.6259669396969","24.3488610320303","26.1122601157285","26.7175157860617","26.5644172341052","27.1496245040458","25.7725796007937","26.1306610185396","25.1622590874601","23.865538102892","23.940915724921","22.7281093074304","23.3150647972892","25.4304098010463","27.6535143649448","27.6806765627844","27.4275932040152","28.9507136620882","28.4562399631007","29.3006535308198","27.8400804629594","26.4051401856795","28.3402536894943","27.1355902422703","25.3857077263991","25.6408030725426",
"United Arab Emirates","ARE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.906","4.025","4.239","4.249","4.29","4.422","4.492","4.658","4.816","4.943","5.421","5.982","6.643","7.2","7.72","7.122","6.614","6.183","6.199","6.093","5.946","5.665","5.459","5.311","5.075","4.847","7.15","6.646","7.419","14.117","10.488","10.884","10.652",
"Argentina","ARG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.63","13.787","22.151","25.735","40.638","36.979","32.194","27.685","30.504","32.354","37.107","41.54","32.972","29.547","26.21","23.781","20.243","18.927","21.181","19.378","18.705","18.335","19.548","19.128","20.259","21.772","22.821","23.824","25.818","30.402","23.356","18.98","17.996",
"Armenia","ARM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.755","1.964","5.734","7.254","7.237","9.987","11.604","10.249","12.328","12.274","12.223","12.154","12.09","12.047","12.007","11.973","11.934","13.181","14.466","15.749","17.026","18.247","19.564","20.937","22.387","23.878","25.435","27.001","24.616","23.76","22.362","19.011","18.961",
"American Samoa","ASM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.472","19.268","18.532","16.869","15.193","15.64","15.836","14.455","13.106","12.081","13.471","12.79","11.959","11.363","10.616","10.025","9.358","8.812","11.46","11.545","11.368","11.726","12.218","13.309","13.107","12.639","12.589","11.778","11.744","14.2","11.228","8.233","8.569",
"Austria","AUT","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.715","4.129","4.66","4.96","5.913","6.846","7.558","7.492","5.924","6.288","6.006","7.143","7.434","11","11.189","10.056","9.605","8.73","10.909","9.683","9.183","9.571","9.776","10.517","10.92","11.435","9.979","9.58","8.775","10.337","12.042","10.35","10.93",
"Azerbaijan","AZE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.674","3.34","8.353","11.715","13.42","15.137","17.05","18.791","20.49","22.121","22.092","21.591","18.943","18.199","15.277","14.621","13.389","13.67","13.614","14.559","14.414","13.896","13.387","13.287","13.208","12.795","12.317","11.62","11.402","15.119","14.463","13.583","13.548",
"Burundi","BDI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.911","3.893","3.868","3.879","3.846","3.848","3.88","3.909","3.867","3.86","3.871","3.88","3.848","3.882","3.865","3.896","3.032","2.134","2.203","2.297","2.401","2.537","2.711","2.929","2.679","2.468","2.24","2.008","1.767","1.691","1.746","1.719","1.72",
